Viajeros
Totales Territoriales;Comunidad Autónoma;Viajeros o pernoctaciones;Residencia;Periodo;Total
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en el Extranjero;2020M12;46.570
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en el Extranjero;2020M11;38.193
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en el Extranjero;2020M10;36.739
Total Nacional;13 Madrid, Comunidad de;Viajero;Residentes en el Extranjero;2020M09;46.085
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2023M09;985.818
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2023M08;835.075
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2023M07;958.385
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2023M06;1.002.324
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2023M05;944.848
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2023M04;1.028.075
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2023M03;963.723
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2023M02;891.978
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2023M01;904.052
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2022M12;1.111.786
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2022M11;991.945
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2022M10;1.012.992
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2022M09;932.436
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2022M08;786.584
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2022M07;830.820
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2022M06;940.874
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2022M05;941.725
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2022M04;981.114
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2022M03;905.312
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2022M02;847.027
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2022M01;699.507
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2021M12;981.968
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2021M11;923.355
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2021M10;1.032.907
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Residentes en España;2021M09;816.887
